Company,Level,FileName,FilePath,DocumentType,PublicationYear,DateEvidence,IncludedByYearRule,ExclusionReason,URL
Google,Level_1_Macro,ai-principles-2023-progress-update.pdf,Thesis_Data_Mining/Level_1_Macro/Google/ai-principles-2023-progress-update.pdf,Document,2023,finder_comment,Yes,,https://ai.google/static/documents/ai-principles-2023-progress-update.pdf
Google,Level_1_Macro,ai-responsibility-update-2026.pdf,Thesis_Data_Mining/Level_1_Macro/Google/ai-responsibility-update-2026.pdf,Document,2026,finder_comment,Yes,,https://ai.google/static/documents/ai-responsibility-update-2026.pdf
Microsoft,Level_1_Macro,Responsible-AI-Transparency-Report-2025-vertical.pdf,Thesis_Data_Mining/Level_1_Macro/Microsoft/Responsible-AI-Transparency-Report-2025-vertical.pdf,Report,2025,finder_comment,Yes,,https://cdn-dynmedia-1.microsoft.com/is/content/microsoftcorp/microsoft/msc/documents/presentations/CSR/Responsible-AI-Transparency-Report-2025-vertical.pdf
Microsoft,Level_1_Macro,sfi-nov-2025-progress-report.pdf,Thesis_Data_Mining/Level_1_Macro/Microsoft/sfi-nov-2025-progress-report.pdf,Report,2025,finder_comment,Yes,,https://cdn-dynmedia-1.microsoft.com/is/content/microsoftcorp/microsoft/bade/documents/products-and-services/en-us/security/sfi-nov-2025-progress-report.pdf#page=1
Anthropic,Level_1_Macro,Third-party testing as a key ingredient of AI policy \ Anthropic.pdf,Thesis_Data_Mining/Level_1_Macro/Anthropic/Third-party testing as a key ingredient of AI policy \ Anthropic.pdf,Blog Post,2024,finder_comment,Yes,,https://www.anthropic.com/news/third-party-testing
Anthropic,Level_1_Macro,Charting a Path to AI Accountability \ Anthropic.pdf,Thesis_Data_Mining/Level_1_Macro/Anthropic/Charting a Path to AI Accountability \ Anthropic.pdf,Blog Post,2023,finder_comment,Yes,,https://www.anthropic.com/news/charting-a-path-to-ai-accountability
Anthropic,Level_1_Macro,Introducing The Anthropic Institute \ Anthropic.pdf,Thesis_Data_Mining/Level_1_Macro/Anthropic/Introducing The Anthropic Institute \ Anthropic.pdf,Blog Post,2026,finder_comment,Yes,,https://www.anthropic.com/news/the-anthropic-institute
Anthropic,Level_1_Macro,"Core Views on AI Safety: When, Why, What, and How \ Anthropic.pdf","Thesis_Data_Mining/Level_1_Macro/Anthropic/Core Views on AI Safety: When, Why, What, and How \ Anthropic.pdf",Blog Post,2023,finder_comment,Yes,,https://www.anthropic.com/news/core-views-on-ai-safety
Anthropic,Level_1_Macro,The Long-Term Benefit Trust \ Anthropic.pdf,Thesis_Data_Mining/Level_1_Macro/Anthropic/The Long-Term Benefit Trust \ Anthropic.pdf,Blog Post,2023,finder_comment,Yes,,https://www.anthropic.com/news/the-long-term-benefit-trust
Anthropic,Level_1_Macro,"Thoughts on the US Executive Order, G7 Code of Conduct, and Bletchley Park Summit \ Anthropic.pdf","Thesis_Data_Mining/Level_1_Macro/Anthropic/Thoughts on the US Executive Order, G7 Code of Conduct, and Bletchley Park Summit \ Anthropic.pdf",Blog Post,2023,finder_comment,Yes,,https://www.anthropic.com/news/policy-recap-q4-2023
