Company,Term,Count,Per1kTokens
Google,governance,30,0.3
Google,transparency,29,0.29
Google,accountability,11,0.11
Google,autonomy,1,0.01
Google,privacy,81,0.81
Google,security,106,1.05
Google,equity,28,0.28
Google,oversight,3,0.03
Google,democratic,0,0.0
Google,agency,20,0.2
Google,ethical,16,0.16
Google,responsible,99,0.98
Google,public,79,0.79
Google,openness,1,0.01
Google,regulation,16,0.16
Google,infrastructure,48,0.48
Google,safety,156,1.55
Google,fairness,6,0.06
Google,inclusion,16,0.16
Google,access,106,1.05
Google,trust,28,0.28
Google,wellbeing,6,0.06
Google,diversity,37,0.37
Google,participation,6,0.06
Microsoft,governance,262,1.43
Microsoft,transparency,86,0.47
Microsoft,accountability,36,0.2
Microsoft,autonomy,13,0.07
Microsoft,privacy,290,1.59
Microsoft,security,761,4.17
Microsoft,equity,13,0.07
Microsoft,oversight,55,0.3
Microsoft,democratic,3,0.02
Microsoft,agency,17,0.09
Microsoft,ethical,38,0.21
Microsoft,responsible,259,1.42
Microsoft,public,164,0.9
Microsoft,openness,1,0.01
Microsoft,regulation,65,0.36
Microsoft,infrastructure,130,0.71
Microsoft,safety,180,0.99
Microsoft,fairness,36,0.2
Microsoft,inclusion,5,0.03
Microsoft,access,326,1.79
Microsoft,trust,172,0.94
Microsoft,wellbeing,6,0.03
Microsoft,diversity,21,0.12
Microsoft,participation,8,0.04
Anthropic,governance,30,0.28
Anthropic,transparency,15,0.14
Anthropic,accountability,19,0.18
Anthropic,autonomy,48,0.44
Anthropic,privacy,36,0.33
Anthropic,security,53,0.49
Anthropic,equity,2,0.02
Anthropic,oversight,45,0.42
Anthropic,democratic,4,0.04
Anthropic,agency,20,0.18
Anthropic,ethical,60,0.55
Anthropic,responsible,31,0.29
Anthropic,public,88,0.81
Anthropic,openness,5,0.05
Anthropic,regulation,19,0.18
Anthropic,infrastructure,26,0.24
Anthropic,safety,212,1.96
Anthropic,fairness,2,0.02
Anthropic,inclusion,1,0.01
Anthropic,access,85,0.78
Anthropic,trust,83,0.77
Anthropic,wellbeing,22,0.2
Anthropic,diversity,3,0.03
Anthropic,participation,6,0.06
